Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
syA6bkZMd6s,A verdade sobre a febre amarela e a vacina - Dr Lair Ribeiro,no,,1517357720,01:32:26,Minha Saúde - Curas Naturais ,UCwQhAc44SfDvhdCQiHluBVQ,People & Blogs,209409,7753,343,0.044241,0,367,0,Y,H; E; L; O,7 Springs Orthopedics; Banza; Boiron; Datrium; Erie Metal Roofs; Lume Deodorant; PragerU; RapidfFN; Spotify; Ticketmaster
YEkJKC5mgBs,VACINAS  Ele dissse tudo ISSO!! sob juramento em um tribunal (INCRÍVEL E TENEBROSO),no,,1558353623,00:20:07,nutrição Alimentos & Cia,UCQNi2fXhCHRu8-b-w29SMCA,Education,173683,10439,477,0.045694,0,1233,0,Y,O; E; M,Bondic; Health and Wellness Tools
4lWjrOEp6FA,Super Vacina Natural Contra a Gripe Dr Lair Ribeiro,no,,1535494305,00:03:23,O Melhor Para Você,UCVPdtCCsEsem4hyVwS_GzOQ,People & Blogs,164691,11400,119,0.010439,0,272,0,Y,L,
X6AzUMm6W0c,Desmentindo a Globo AO VIVO Sobre as Campanhas de VACINAÇÃO!,no,,1493298326,00:05:43,FOGO VIVO de YAUH יהוה,UCIFYUiFUWCQzDc9nc6KY2Ig,People & Blogs,164064,2492,300,0.120385,0,499,0,Y,N; D; E; J,
JaMDUQyG0as,DEVO OU NÃO ME VACINAR CONTRA GRIPE? (Tiago Rocha),no,,1493939645,00:05:31,Palestrante Tiago Rocha,UCfMqB9cB9RfC1r2CMPnYDNw,People & Blogs,154111,9528,209,0.021935,0,491,0,Y,L,
KdCCbazbKAI,⚠️VEJA A VERDADE POR DETRÁS DA VACINA DA FEBRE AMARELA | Hangout Dr Lair Ribeiro.,no,,1517357689,01:32:26,U MIÓ QUE TÁ TENO,UC4F32QLrpDmmRrozxr9z59g,Science & Technology,112039,6897,186,0.026968,0,398,0,Y,H; E; L; O,Buscopan; Incredible India; Japan Gov; Kia; Philips; SEAT
GlOaGXP1tPI,Domingo Espetacular conversa com pais que decidiram não vacinar os filhos,no,,1502109491,00:12:50,Domingo Espetacular,UCP-Vg2PcmLiWpEdvMI1R35w,Entertainment,96276,1705,154,0.090323,0,2630,0,Y,J; E; L; O; F,
dohuRW3iBRg,VOCÊ DEVE TOMAR A VACINA DA FEBRE AMARELA?,yes,36,1517493438,00:10:20,Dr. Lair Ribeiro Oficial,UCk9mgpQVdJ5oKQWkM1UPBaQ,Entertainment,58878,4339,107,0.02466,0,370,0,Y,O,
bHx4h10n4TQ,Verdade das vacinas sujas revelada,no,,1275673466,00:07:14,aphomeopatiaTV,UCTGVdd_qB7Rz4X4oAKZ0kyg,People & Blogs,56329,419,19,0.045346,0,38,0,Y,E; C; A; N; H,
5TuBArbnPwU,Uma vacina contra o câncer,no,,1544118643,00:06:57,Dr. Lair Ribeiro Oficial,UCk9mgpQVdJ5oKQWkM1UPBaQ,Entertainment,55081,5768,37,0.006415,0,234,0,Y,L,
T1ArUvap1NI,Quem pode e quem não pode tomar a vacina contra a febre amarela? Dr. Lair Ribeiro,no,,1517431470,00:10:49,Minha Saúde - Curas Naturais ,UCwQhAc44SfDvhdCQiHluBVQ,People & Blogs,44107,1199,43,0.035863,0,59,0,Y,E; L,Digital Dream Lifestyle; Mindvalley; Unichamp; Weiterdenker
AmrNqVJuwgY,VACINA PARA GRIPE - Tomar ou não? | Medicina Ortomolecular,no,,1543341601,00:04:30,Dr J Bussade,UCOX1xjMcnZVmV-yx0VC6Fvg,People & Blogs,34474,1759,35,0.019898,0,120,0,Y,J; E; D; A,
5ymr8JwOcHw,Dr Lair Ribeiro | AFINAL: QUEM pode ou não pode tomar a VACINA contra a FeBRe AMARELA?,no,,1517706300,00:10:14,Junior Hallak Medicina e Saúde,UCPR3gVNYBzi-02_O4noC1Zg,People & Blogs,31223,2049,28,0.013665,0,100,0,Y,E; L,Andreas Grosz; Digital Dream Lifestyle; Leap4Freedom; Patrick van Diemen
nq214q1RusY,Lair ribeiro Vitamina D3 A Vacina Contra O Cancer,no,,1420297019,00:05:19,Cizio Oliveira,UCB64lmy3pK38sjYIVjiZN8A,People & Blogs,30048,994,11,0.011066,0,33,0,Y,L,
fF53D9Pteo0,O Governo e a Mídia MENTEM. AS VACINAS CAUSAM DOENÇAS E DANOS AO SISTEMA IMUNOLÓGICO.,no,,1395003851,00:13:03,Capixaba Otário,UCNMwzMh0MW_J_nK9kMS4ldg,People & Blogs,25547,397,33,0.083123,0,114,0,Y,N; G; D; J; O; Q; A; K; E; F,
0UUWs5e8cB0,VACINOSE : Doença secundária à Vacina / Dr. Lair Ribeiro,no,,1517505267,00:04:41,Junior Hallak Medicina e Saúde,UCPR3gVNYBzi-02_O4noC1Zg,People & Blogs,25452,1235,29,0.023482,0,93,0,Y,L,Mindvalley; SDI Broker
Xe7Fk9Oydl8,Pais decidem não vacinar os filhos por medo das reações que as vacinas podem provocar,yes,4,1505496847,00:11:55,Hoje em Dia,UCN-opsqqDunWO6h5uCp9Y4g,Entertainment,17733,229,47,0.20524,0,407,0,Y,O; F; L; E; J,
PnF0X7gY4io,DANIEL BECKER RESPONDE - VACINAR OU NÃO OS FILHOS? - CRIAR E CRESCER,no,,1473255251,00:05:52,Criar e Crescer,UCgbbjw8zPkrmmL_XU1SgJBg,Education,17331,748,40,0.053476,0,88,0,Y,G; N,Mobil; OPPO
m7ctAH51DzQ,Bill Gates diz que vai reduzir 10 a 15% da população mundial através da vacinação...,no,,1308689296,00:02:25,Paulo Almeida,UCKfap1xgEqqAhN7jtYgDsYg,Entertainment,16555,133,22,0.165414,0,18,0,Y,N; D; J; A; P; O,
0N2rqAHsxcs,🔴 Conheça A VACINA CONTRA O CÂNCER!!! E A Dieta Da Sua Cura!!! Lair Ribeiro Responde,no,,1545482682,00:14:56,SAÚDE & BEM ESTAR,UCe1XNXkGImWSq5n4wkzNjBw,People & Blogs,12978,1198,12,0.010017,0,50,0,Y,L,DG Achieve; Patrick van Diemen
tD6EYsXAS6A,vacina da gripe para toda a população a partir de segunda-feira - oi????,no,,1496455134,00:06:21,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,12771,1174,31,0.026405,0,206,0,Y,E; N; O; P,Happn; Lecturio
JUIaeUQQ3oY,VACINA H1N1 NAO TOME  PESQUISE ANTES!.wmv,no,,1266467539,00:06:01,Carlos Iafelice Junior,UCkYT8YPzCP0bGJkO6RBeRuA,Education,12604,395,4,0.010127,0,,0,Y,O; N; G,
f5DoMoPwPKw,A polêmica das vacinas contra o vírus HPV | H1N1 | Guillan barré e Zica Virus,no,,1451581074,00:08:16,Ezequiel Cordeiro - Hora Final,UCl4swlkSKDinuw5w5S77m8A,People & Blogs,10553,243,12,0.049383,0,50,0,Y,A; D; M; N; J; H,
